"State","Country","report_date","yoy_pct_change"
"Indiana","United States",2020-03-15,-0.51
"Kansas","United States",2020-03-15,-0.55
"Kentucky","United States",2020-03-15,-0.55
"Louisiana","United States",2020-03-15,-0.5
"Maryland","United States",2020-03-15,-0.67
"Massachusetts","United States",2020-03-15,-0.53
"Michigan","United States",2020-03-15,-0.54
"Minnesota","United States",2020-03-15,-0.51
"Missouri","United States",2020-03-15,-0.45
"Nebraska","United States",2020-03-15,-0.44
"Nevada","United States",2020-03-15,-0.37
"New Jersey","United States",2020-03-15,-0.56
"New Mexico","United States",2020-03-15,-0.44
"New York","United States",2020-03-15,-0.47
"North Carolina","United States",2020-03-15,-0.63
"Ohio","United States",2020-03-15,-0.51
"Oklahoma","United States",2020-03-15,-0.31
"Oregon","United States",2020-03-15,-0.55
"Pennsylvania","United States",2020-03-15,-0.56
"Rhode Island","United States",2020-03-15,-0.5
"South Carolina","United States",2020-03-15,-0.31
"Tennessee","United States",2020-03-15,-0.46
"Texas","United States",2020-03-15,-0.42
"Utah","United States",2020-03-15,-0.53
"Virginia","United States",2020-03-15,-0.5
"Washington","United States",2020-03-15,-0.57
"Wisconsin","United States",2020-03-15,-0.47
