"State","Country","report_date","yoy_pct_change"
"Ohio","United States",2020-02-23,0
"Oklahoma","United States",2020-02-23,-0.08
"Oregon","United States",2020-02-23,0.2
"Pennsylvania","United States",2020-02-23,0.03
"Rhode Island","United States",2020-02-23,0.24
"South Carolina","United States",2020-02-23,0.04
"Tennessee","United States",2020-02-23,-0.14
"Texas","United States",2020-02-23,-0.03
"Utah","United States",2020-02-23,0.04
"Virginia","United States",2020-02-23,0.07
"Washington","United States",2020-02-23,0.1
"Wisconsin","United States",2020-02-23,0.25
"New South Wales","Australia",2020-02-24,0.04
"Queensland","Australia",2020-02-24,0.09
"Victoria","Australia",2020-02-24,-0.07
"Alberta","Canada",2020-02-24,-0.01
"British Columbia","Canada",2020-02-24,-0.03
"Ontario","Canada",2020-02-24,-0.02
"Quebec","Canada",2020-02-24,0.14
"Baja California Sur","Mexico",2020-02-24,0.29
"Jalisco","Mexico",2020-02-24,-0.09
"Mexico City","Mexico",2020-02-24,0
"Nuevo Leon","Mexico",2020-02-24,0
"Quintana Roo","Mexico",2020-02-24,-0.02
"Alabama","United States",2020-02-24,0.01
"Arizona","United States",2020-02-24,0.02
"California","United States",2020-02-24,0.03
"Colorado","United States",2020-02-24,-0.02
"Connecticut","United States",2020-02-24,-0.02
"District of Columbia","United States",2020-02-24,0.11
"Florida","United States",2020-02-24,0.02
"Georgia","United States",2020-02-24,-0.09
"Hawaii","United States",2020-02-24,0.02
"Illinois","United States",2020-02-24,-0.05
"Indiana","United States",2020-02-24,0.06
"Kansas","United States",2020-02-24,-0.12
"Kentucky","United States",2020-02-24,0.02
"Louisiana","United States",2020-02-24,0.8
"Maryland","United States",2020-02-24,0.08
"Massachusetts","United States",2020-02-24,0.04
"Michigan","United States",2020-02-24,0.01
"Minnesota","United States",2020-02-24,0.02
"Missouri","United States",2020-02-24,-0.07
"Nebraska","United States",2020-02-24,0.04
"Nevada","United States",2020-02-24,0.01
"New Jersey","United States",2020-02-24,0.06
"New Mexico","United States",2020-02-24,-0.03
"New York","United States",2020-02-24,0.06
"North Carolina","United States",2020-02-24,-0.09
"Ohio","United States",2020-02-24,-0.08
