"City","report_date","yoy_pct_change","State","Country"
"San Pedro Garza García",2020-03-13,-0.28,"Nuevo Leon","Mexico"
"London",2020-03-13,-0.36,"","United Kingdom"
"Phoenix",2020-03-13,-0.28,"Arizona","United States"
"Scottsdale",2020-03-13,-0.29,"Arizona","United States"
"Los Angeles",2020-03-13,-0.48,"California","United States"
"San Diego",2020-03-13,-0.43,"California","United States"
"San Francisco",2020-03-13,-0.53,"California","United States"
"Denver",2020-03-13,-0.46,"Colorado","United States"
"Washington",2020-03-13,-0.44,"District of Columbia","United States"
"Fort Lauderdale",2020-03-13,-0.28,"Florida","United States"
"Miami",2020-03-13,-0.27,"Florida","United States"
"Miami Beach",2020-03-13,-0.21,"Florida","United States"
"Naples",2020-03-13,-0.24,"Florida","United States"
"Orlando",2020-03-13,-0.33,"Florida","United States"
"Tampa",2020-03-13,-0.22,"Florida","United States"
"Atlanta",2020-03-13,-0.35,"Georgia","United States"
"Honolulu",2020-03-13,-0.18,"Hawaii","United States"
"Chicago",2020-03-13,-0.37,"Illinois","United States"
"Indianapolis",2020-03-13,-0.47,"Indiana","United States"
"Louisville",2020-03-13,-0.33,"Kentucky","United States"
"New Orleans",2020-03-13,-0.32,"Louisiana","United States"
"Baltimore",2020-03-13,-0.3,"Maryland","United States"
"Boston",2020-03-13,-0.56,"Massachusetts","United States"
"Minneapolis",2020-03-13,-0.22,"Minnesota","United States"
"Las Vegas",2020-03-13,-0.32,"Nevada","United States"
"New York",2020-03-13,-0.61,"New York","United States"
"Charlotte",2020-03-13,-0.35,"North Carolina","United States"
"Raleigh",2020-03-13,-0.29,"North Carolina","United States"
"Cincinnati",2020-03-13,-0.37,"Ohio","United States"
"Columbus",2020-03-13,-0.38,"Ohio","United States"
"Portland",2020-03-13,-0.41,"Oregon","United States"
"Philadelphia",2020-03-13,-0.4,"Pennsylvania","United States"
"Pittsburgh",2020-03-13,-0.42,"Pennsylvania","United States"
"Nashville",2020-03-13,-0.37,"Tennessee","United States"
"Austin",2020-03-13,-0.35,"Texas","United States"
"Dallas",2020-03-13,-0.35,"Texas","United States"
"Houston",2020-03-13,-0.33,"Texas","United States"
"San Antonio",2020-03-13,-0.41,"Texas","United States"
"Seattle",2020-03-13,-0.63,"Washington","United States"
"Calgary",2020-03-12,-0.27,"Alberta","Canada"
"Edmonton",2020-03-12,-0.23,"Alberta","Canada"
"Vancouver",2020-03-12,-0.24,"British Columbia","Canada"
"Toronto",2020-03-12,-0.37,"Ontario","Canada"
"Montréal",2020-03-12,-0.24,"Quebec","Canada"
"Hamburg",2020-03-12,-0.24,"","Germany"
"München",2020-03-12,-0.17,"","Germany"
"Dublin",2020-03-12,-0.46,"","Ireland"
"Ciudad de México",2020-03-12,-0.16,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-12,-0.22,"Nuevo Leon","Mexico"
"London",2020-03-12,-0.29,"","United Kingdom"
"Phoenix",2020-03-12,-0.21,"Arizona","United States"
"Scottsdale",2020-03-12,-0.22,"Arizona","United States"
"Los Angeles",2020-03-12,-0.38,"California","United States"
"San Diego",2020-03-12,-0.43,"California","United States"
"San Francisco",2020-03-12,-0.51,"California","United States"
"Denver",2020-03-12,-0.17,"Colorado","United States"
"Washington",2020-03-12,-0.38,"District of Columbia","United States"
"Fort Lauderdale",2020-03-12,-0.25,"Florida","United States"
"Miami",2020-03-12,-0.22,"Florida","United States"
"Miami Beach",2020-03-12,-0.22,"Florida","United States"
"Naples",2020-03-12,-0.17,"Florida","United States"
"Orlando",2020-03-12,-0.3,"Florida","United States"
"Tampa",2020-03-12,-0.16,"Florida","United States"
"Atlanta",2020-03-12,-0.26,"Georgia","United States"
"Honolulu",2020-03-12,-0.2,"Hawaii","United States"
"Chicago",2020-03-12,-0.31,"Illinois","United States"
"Indianapolis",2020-03-12,-0.35,"Indiana","United States"
"Louisville",2020-03-12,-0.3,"Kentucky","United States"
"New Orleans",2020-03-12,-0.28,"Louisiana","United States"
"Baltimore",2020-03-12,-0.3,"Maryland","United States"
"Boston",2020-03-12,-0.47,"Massachusetts","United States"
"Minneapolis",2020-03-12,-0.28,"Minnesota","United States"
"Las Vegas",2020-03-12,-0.2,"Nevada","United States"
"New York",2020-03-12,-0.52,"New York","United States"
"Charlotte",2020-03-12,-0.3,"North Carolina","United States"
"Raleigh",2020-03-12,-0.21,"North Carolina","United States"
"Cincinnati",2020-03-12,-0.19,"Ohio","United States"
"Columbus",2020-03-12,-0.37,"Ohio","United States"
"Portland",2020-03-12,-0.32,"Oregon","United States"
"Philadelphia",2020-03-12,-0.39,"Pennsylvania","United States"
"Pittsburgh",2020-03-12,-0.42,"Pennsylvania","United States"
"Nashville",2020-03-12,-0.3,"Tennessee","United States"
"Austin",2020-03-12,-0.27,"Texas","United States"
"Dallas",2020-03-12,-0.25,"Texas","United States"
"Houston",2020-03-12,-0.24,"Texas","United States"
"San Antonio",2020-03-12,-0.28,"Texas","United States"
"Seattle",2020-03-12,-0.58,"Washington","United States"
"Calgary",2020-03-11,-0.07,"Alberta","Canada"
"Edmonton",2020-03-11,-0.1,"Alberta","Canada"
"Vancouver",2020-03-11,-0.17,"British Columbia","Canada"
"Toronto",2020-03-11,-0.28,"Ontario","Canada"
"Montréal",2020-03-11,-0.26,"Quebec","Canada"
"Hamburg",2020-03-11,-0.05,"","Germany"
"München",2020-03-11,-0.21,"","Germany"
"Dublin",2020-03-11,-0.3,"","Ireland"
"Ciudad de México",2020-03-11,-0.18,"Mexico City","Mexico"
"San Pedro Garza García",2020-03-11,-0.11,"Nuevo Leon","Mexico"
"London",2020-03-11,-0.19,"","United Kingdom"
"Phoenix",2020-03-11,-0.28,"Arizona","United States"
"Scottsdale",2020-03-11,-0.23,"Arizona","United States"
"Los Angeles",2020-03-11,-0.26,"California","United States"
"San Diego",2020-03-11,-0.31,"California","United States"
"San Francisco",2020-03-11,-0.43,"California","United States"
"Denver",2020-03-11,-0.04,"Colorado","United States"
"Washington",2020-03-11,-0.22,"District of Columbia","United States"
"Fort Lauderdale",2020-03-11,-0.15,"Florida","United States"
"Miami",2020-03-11,-0.18,"Florida","United States"
"Miami Beach",2020-03-11,-0.2,"Florida","United States"
"Naples",2020-03-11,-0.13,"Florida","United States"
"Orlando",2020-03-11,-0.3,"Florida","United States"
"Tampa",2020-03-11,-0.14,"Florida","United States"
"Atlanta",2020-03-11,-0.14,"Georgia","United States"
"Honolulu",2020-03-11,-0.17,"Hawaii","United States"
"Chicago",2020-03-11,-0.27,"Illinois","United States"
