"State","report_date","yoy_pct_change","Country"
"Louisiana",2020-03-13,-0.28,"United States"
"Maryland",2020-03-13,-0.37,"United States"
"Massachusetts",2020-03-13,-0.52,"United States"
"Mexico City",2020-03-13,-0.16,"Mexico"
"Michigan",2020-03-13,-0.43,"United States"
"Minnesota",2020-03-13,-0.3,"United States"
"Missouri",2020-03-13,-0.29,"United States"
"Nebraska",2020-03-13,-0.31,"United States"
"Nevada",2020-03-13,-0.31,"United States"
"New Jersey",2020-03-13,-0.4,"United States"
"New Mexico",2020-03-13,-0.35,"United States"
"New South Wales",2020-03-13,-0.06,"Australia"
"New York",2020-03-13,-0.54,"United States"
"North Carolina",2020-03-13,-0.28,"United States"
"Nuevo Leon",2020-03-13,-0.26,"Mexico"
"Ohio",2020-03-13,-0.37,"United States"
"Oklahoma",2020-03-13,-0.2,"United States"
"Ontario",2020-03-13,-0.45,"Canada"
"Oregon",2020-03-13,-0.4,"United States"
"Pennsylvania",2020-03-13,-0.44,"United States"
"Quebec",2020-03-13,-0.48,"Canada"
"Queensland",2020-03-13,0.09,"Australia"
"Quintana Roo",2020-03-13,-0.14,"Mexico"
"Rhode Island",2020-03-13,-0.41,"United States"
"South Carolina",2020-03-13,-0.19,"United States"
"Tennessee",2020-03-13,-0.34,"United States"
"Texas",2020-03-13,-0.35,"United States"
"Utah",2020-03-13,-0.28,"United States"
"Victoria",2020-03-13,-0.18,"Australia"
"Virginia",2020-03-13,-0.34,"United States"
"Washington",2020-03-13,-0.53,"United States"
"Alabama",2020-03-12,-0.02,"United States"
"Alberta",2020-03-12,-0.23,"Canada"
"Arizona",2020-03-12,-0.18,"United States"
"Baja California Sur",2020-03-12,-0.12,"Mexico"
"British Columbia",2020-03-12,-0.21,"Canada"
"California",2020-03-12,-0.38,"United States"
"Colorado",2020-03-12,-0.17,"United States"
"Connecticut",2020-03-12,-0.43,"United States"
"District of Columbia",2020-03-12,-0.38,"United States"
"Florida",2020-03-12,-0.23,"United States"
"Georgia",2020-03-12,-0.23,"United States"
"Hawaii",2020-03-12,-0.15,"United States"
"Illinois",2020-03-12,-0.26,"United States"
"Indiana",2020-03-12,-0.29,"United States"
"Jalisco",2020-03-12,-0.06,"Mexico"
"Kansas",2020-03-12,-0.01,"United States"
"Kentucky",2020-03-12,-0.26,"United States"
"Louisiana",2020-03-12,-0.23,"United States"
"Maryland",2020-03-12,-0.33,"United States"
"Massachusetts",2020-03-12,-0.41,"United States"
"Mexico City",2020-03-12,-0.16,"Mexico"
"Michigan",2020-03-12,-0.21,"United States"
"Minnesota",2020-03-12,-0.24,"United States"
"Missouri",2020-03-12,-0.25,"United States"
"Nebraska",2020-03-12,-0.02,"United States"
"Nevada",2020-03-12,-0.21,"United States"
"New Jersey",2020-03-12,-0.26,"United States"
"New Mexico",2020-03-12,-0.1,"United States"
"New South Wales",2020-03-12,-0.12,"Australia"
"New York",2020-03-12,-0.49,"United States"
"North Carolina",2020-03-12,-0.22,"United States"
"Nuevo Leon",2020-03-12,-0.2,"Mexico"
"Ohio",2020-03-12,-0.29,"United States"
"Oklahoma",2020-03-12,0.01,"United States"
"Ontario",2020-03-12,-0.35,"Canada"
"Oregon",2020-03-12,-0.33,"United States"
"Pennsylvania",2020-03-12,-0.35,"United States"
"Quebec",2020-03-12,-0.26,"Canada"
"Queensland",2020-03-12,-0.18,"Australia"
"Quintana Roo",2020-03-12,-0.16,"Mexico"
"Rhode Island",2020-03-12,-0.31,"United States"
"South Carolina",2020-03-12,-0.16,"United States"
"Tennessee",2020-03-12,-0.28,"United States"
"Texas",2020-03-12,-0.25,"United States"
"Utah",2020-03-12,-0.19,"United States"
"Victoria",2020-03-12,-0.08,"Australia"
"Virginia",2020-03-12,-0.34,"United States"
"Washington",2020-03-12,-0.45,"United States"
"Alabama",2020-03-11,-0.08,"United States"
"Alberta",2020-03-11,-0.08,"Canada"
"Arizona",2020-03-11,-0.2,"United States"
"Baja California Sur",2020-03-11,-0.17,"Mexico"
"British Columbia",2020-03-11,-0.13,"Canada"
"California",2020-03-11,-0.23,"United States"
"Colorado",2020-03-11,-0.08,"United States"
"Connecticut",2020-03-11,-0.2,"United States"
"District of Columbia",2020-03-11,-0.22,"United States"
"Florida",2020-03-11,-0.18,"United States"
"Georgia",2020-03-11,-0.17,"United States"
"Hawaii",2020-03-11,-0.11,"United States"
"Illinois",2020-03-11,-0.22,"United States"
"Indiana",2020-03-11,-0.16,"United States"
"Jalisco",2020-03-11,-0.02,"Mexico"
"Kansas",2020-03-11,-0.09,"United States"
"Kentucky",2020-03-11,-0.2,"United States"
"Louisiana",2020-03-11,-0.16,"United States"
"Maryland",2020-03-11,-0.21,"United States"
"Massachusetts",2020-03-11,-0.25,"United States"
"Mexico City",2020-03-11,-0.18,"Mexico"
"Michigan",2020-03-11,-0.18,"United States"
"Minnesota",2020-03-11,-0.18,"United States"
"Missouri",2020-03-11,-0.12,"United States"
"Nebraska",2020-03-11,-0.16,"United States"
"Nevada",2020-03-11,-0.12,"United States"
"New Jersey",2020-03-11,-0.14,"United States"
"New Mexico",2020-03-11,0.02,"United States"
"New South Wales",2020-03-11,-0.09,"Australia"
"New York",2020-03-11,-0.32,"United States"
"North Carolina",2020-03-11,-0.14,"United States"
"Nuevo Leon",2020-03-11,-0.15,"Mexico"
"Ohio",2020-03-11,-0.19,"United States"
"Oklahoma",2020-03-11,-0.07,"United States"
"Ontario",2020-03-11,-0.25,"Canada"
"Oregon",2020-03-11,-0.22,"United States"
"Pennsylvania",2020-03-11,-0.17,"United States"
"Quebec",2020-03-11,-0.2,"Canada"
"Queensland",2020-03-11,-0.03,"Australia"
"Quintana Roo",2020-03-11,-0.17,"Mexico"
"Rhode Island",2020-03-11,-0.15,"United States"
"South Carolina",2020-03-11,-0.07,"United States"
"Tennessee",2020-03-11,-0.22,"United States"
"Texas",2020-03-11,-0.14,"United States"
"Utah",2020-03-11,-0.11,"United States"
"Victoria",2020-03-11,-0.14,"Australia"
"Virginia",2020-03-11,-0.23,"United States"
"Washington",2020-03-11,-0.41,"United States"
"Alabama",2020-03-10,-0.26,"United States"
"Alberta",2020-03-10,-0.1,"Canada"
"Arizona",2020-03-10,-0.14,"United States"
"Baja California Sur",2020-03-10,-0.2,"Mexico"
"British Columbia",2020-03-10,-0.15,"Canada"
"California",2020-03-10,-0.27,"United States"
"Colorado",2020-03-10,-0.17,"United States"
"Connecticut",2020-03-10,-0.2,"United States"
"District of Columbia",2020-03-10,-0.18,"United States"
"Florida",2020-03-10,-0.18,"United States"
"Georgia",2020-03-10,-0.15,"United States"
"Hawaii",2020-03-10,-0.1,"United States"
"Illinois",2020-03-10,-0.18,"United States"
"Indiana",2020-03-10,-0.11,"United States"
"Jalisco",2020-03-10,-0.19,"Mexico"
"Kansas",2020-03-10,-0.06,"United States"
"Kentucky",2020-03-10,-0.21,"United States"
"Louisiana",2020-03-10,-0.13,"United States"
"Maryland",2020-03-10,-0.18,"United States"
"Massachusetts",2020-03-10,-0.22,"United States"
"Mexico City",2020-03-10,-0.17,"Mexico"
"Michigan",2020-03-10,-0.1,"United States"
"Minnesota",2020-03-10,-0.12,"United States"
"Missouri",2020-03-10,-0.1,"United States"
"Nebraska",2020-03-10,-0.11,"United States"
"Nevada",2020-03-10,-0.18,"United States"
"New Jersey",2020-03-10,-0.04,"United States"
"New Mexico",2020-03-10,0.07,"United States"
"New South Wales",2020-03-10,0.03,"Australia"
"New York",2020-03-10,-0.27,"United States"
"North Carolina",2020-03-10,-0.09,"United States"
"Nuevo Leon",2020-03-10,-0.04,"Mexico"
"Ohio",2020-03-10,-0.19,"United States"
"Oklahoma",2020-03-10,-0.04,"United States"
"Ontario",2020-03-10,-0.23,"Canada"
"Oregon",2020-03-10,-0.13,"United States"
"Pennsylvania",2020-03-10,-0.18,"United States"
"Quebec",2020-03-10,-0.12,"Canada"
"Queensland",2020-03-10,0,"Australia"
"Quintana Roo",2020-03-10,-0.25,"Mexico"
"Rhode Island",2020-03-10,-0.16,"United States"
"South Carolina",2020-03-10,-0.14,"United States"
"Tennessee",2020-03-10,-0.16,"United States"
"Texas",2020-03-10,-0.14,"United States"
"Utah",2020-03-10,-0.19,"United States"
"Victoria",2020-03-10,-0.09,"Australia"
"Virginia",2020-03-10,-0.13,"United States"
"Washington",2020-03-10,-0.38,"United States"
"Alabama",2020-03-09,-0.11,"United States"
"Alberta",2020-03-09,-0.13,"Canada"
"Arizona",2020-03-09,-0.07,"United States"
"Baja California Sur",2020-03-09,-0.17,"Mexico"
"British Columbia",2020-03-09,-0.03,"Canada"
"California",2020-03-09,-0.18,"United States"
"Colorado",2020-03-09,-0.13,"United States"
"Connecticut",2020-03-09,-0.12,"United States"
"District of Columbia",2020-03-09,-0.1,"United States"
"Florida",2020-03-09,-0.18,"United States"
"Georgia",2020-03-09,-0.04,"United States"
"Hawaii",2020-03-09,-0.08,"United States"
"Illinois",2020-03-09,-0.21,"United States"
"Indiana",2020-03-09,-0.17,"United States"
"Jalisco",2020-03-09,-0.23,"Mexico"
"Kansas",2020-03-09,-0.21,"United States"
"Kentucky",2020-03-09,-0.17,"United States"
"Louisiana",2020-03-09,-0.08,"United States"
"Maryland",2020-03-09,-0.06,"United States"
"Massachusetts",2020-03-09,-0.13,"United States"
"Mexico City",2020-03-09,-0.29,"Mexico"
"Michigan",2020-03-09,-0.14,"United States"
"Minnesota",2020-03-09,-0.17,"United States"
"Missouri",2020-03-09,-0.13,"United States"
"Nebraska",2020-03-09,-0.34,"United States"
"Nevada",2020-03-09,-0.11,"United States"
"New Jersey",2020-03-09,0.12,"United States"
"New Mexico",2020-03-09,0,"United States"
"New South Wales",2020-03-09,-0.16,"Australia"
"New York",2020-03-09,-0.15,"United States"
"North Carolina",2020-03-09,-0.04,"United States"
"Nuevo Leon",2020-03-09,-0.16,"Mexico"
"Ohio",2020-03-09,-0.19,"United States"
"Oklahoma",2020-03-09,0,"United States"
"Ontario",2020-03-09,-0.2,"Canada"
"Oregon",2020-03-09,-0.15,"United States"
"Pennsylvania",2020-03-09,-0.07,"United States"
"Quebec",2020-03-09,-0.04,"Canada"
"Queensland",2020-03-09,-0.06,"Australia"
"Quintana Roo",2020-03-09,-0.11,"Mexico"
"Rhode Island",2020-03-09,0.17,"United States"
"South Carolina",2020-03-09,-0.07,"United States"
"Tennessee",2020-03-09,-0.17,"United States"
